The Beatles, Come Together	One and one and one is three.
The Social Network	Even a few people leaving would reverberate through the entire user base. The users are interconnected; that is the whole point. College kids are online because their friends are online, and if one domino goes, the other dominoes go. Don't you get that?
Susanne Sundfør - Good Luck Bad Luck	But as he moves closer, I cannot help but ask: if in a different world, would our love forever last? The almighty scientist says most of the universe is empty, and gods don't exist. Well, maybe that's where our love ends up - no holy grail, just an empty cup.
Alvvays - The Agency Group	An outcast of modern society suffering from a case of sobriety. Shortcomings, well, you can take your pick, when you're catering to one of your nervous ticks. When you whisper you don't think of me that way; when I mention you don't mean that much to me, to me, to me.
Mystery Science Theater 3000: Manos the Hands of Fate	In the not too distant future, next Sunday AD, there was a guy named Joel not too different from you or me. He worked at Gizmonic Institute, just another face in a red jumpsuit. He did a good job cleaning up the place but his bosses didn't like him so they shot him into space.
Crazy Rich Asians	Well, Nicky, I hate to point out the obvious, but here's this tiny bird that's been trying to get through a huge bulletproof glass wall. A totally impossible situation. You tell me it's been here every day pecking away persistently for ten minutes. Well, today the glass wall came down.
From the Earth to the Moon	Now when an American has an idea, he directly seeks a second American to share it. If there be three, they elect a president and two secretaries. Given four, they name a keeper of records, and the office is ready for work; five, they convene a general meeting, and the club is fully constituted.
Schindler's List	I know you have received orders from our commandant, which he has received from his superiors, to dispose of the population of this camp. Now would be the time to do it. Here they are; they're all here. This is your opportunity. Or, you could leave, and return to your families as men instead of murderers.
The Action Hero's Handbook: How to Catch a Great White Shark, Perform the Vulcan Nerve Pinch, Track a Fugitive, and Dozens of Other TV and Movie Skills	Wrongfully imprisoned action heroes rarely have the time to wait for an appeal. Often, the fate of a loved one or the free world itself is at stake if you do not get out, and so any experienced action hero knows that a dramatic rescue, a prison break, or a pardon will almost certainly be coming in time for Act III.
Sports Night	It's taken me a lot of years, but I've come around to this: If you're dumb, surround yourself with smart people. And if you're smart, surround yourself with smart people who disagree with you. I'm an awfully smart man, and Mike Sabath is an idiot. He had you and he blew it. You're gonna do great here but you've gotta trust us.
The Lord of The Rings	It was a merry journey with Tom Bombadil trotting gaily beside them, or before them, on Fatty Lumpkin, who could move much faster than his girth promised. Tom sang most of the time, but it was chiefly nonsense, or else perhaps a strange language unknown to the hobbits, an ancient language whose words were mainly those of wonder and delight.
Inherit the Wind	Mr. Brady, why do you deny the one faculty of man that raises him above the other creatures of the earth? The power of his brain to reason. What other merit have we? The elephant is larger; the horse is swifter and stronger; the butterfly is far more beautiful; the mosquito is more prolific. Even the simple sponge is more durable. But does a sponge think?
Life of Pi	I was giving up. I would have given up - if a voice hadn't made itself heard in my heart. The voice said "I will not die. I refuse it. I will make it through this nightmare. I will beat the odds, as great as they are. I have survived so far, miraculously. Now I will turn miracle into routine. The amazing will be seen every day. I will put in all the hard work necessary."
The Time Song	Time is a tool you can put on the wall or wear it on your wrist. The past is far behind us, the future doesn't exist. Time is a ruler to measure the day, it doesn't go backwards, only one way. Time went new and got old like history. Stuff from the past went into a mystery. It's out of my hands, I'm only a clock. Don't worry, I'm sure you'll be fine, but eventually everyone runs out of time.
Carli Lloyd When Nobody was Watching	The people who succeed don't heed the doubters and don't give in to despair or negativity. They don't talk about emptying the tank, they just empty it. It's just one more indispensable life lesson I've learned from my mentor, coach, and friend James Galanis, who even now never stops reminding me that you can achieve great things in life if you are true to yourself and you do the work when nobody is watching.
Inherit the Wind	It's the loneliest feeling in the world to find yourself standing up when everybody else is sitting down. To have everybody look at you and say, "What's the matter with him?" I know. I know what it feels like. Walking down an empty street, listening to the sound of your own footsteps. Shutters closed, blinds drawn, doors locked against you. And you aren't sure whether you're walking toward something, or if you're just walking away.
Harry Potter and the Half-Blood Prince	But he understood at last what Dumbledore had been trying to tell him. It was, he thought, the difference between being dragged into the arena to face a battle to the death and walking into the arena with your head held high. Some people, perhaps, would say that there was little to choose between the two ways, but Dumbledore knew - and so do I, thought Harry, with a rush of fierce pride, and so did my parents - that there was all the difference in the world.
The Lord of The Rings	He then told them many remarkable stories, sometimes half as if speaking to himself, sometimes looking at them suddenly with a bright blue eye under his deep brows. Often his voice would turn to song, and he would get out of his chair and dance about. He told them tales of bees and flowers, the ways of trees, and the strange creatures of the Forest, about the evil things and good things, things friendly and things unfriendly, cruel things and kind things, and secrets hidden under brambles.
The Grapes of Wrath	She seemed to know, to accept, to welcome her position, the citadel of the family, the strong place that could not be taken. And since old Tom and the children could not know hurt or fear unless she acknowledged hurt or fear, she had practiced denying them in herself. And since, when a joyful thing happened, they looked to see whether joy was on her, it was her habit to build up laughter out of inadequate materials. She seemed to know that if she swayed the family shook, and if she ever deeply wavered or despaired the family would fall.
Wikipedia - Colemak	Colemak is a keyboard layout for Latin-script alphabets. The layout is designed to make typing more efficient and comfortable by placing the most frequently used letters of the English language on the home row. Created in 2006, it is named after its inventor, Shai Coleman. Most major modern operating systems such as Mac OS, Linux, Android, Chrome OS, and BSD support Colemak natively. A program to install the layout is available for Microsoft Windows. On Android and iOS, the layout is offered by several virtual keyboard apps like GBoard and SwiftKey, as well as by many apps which support physical keyboards directly.
